SECTOR;TX_SECTOR_WORK_DESCR_FR;Sum of OBS_VALUE;Nb Actualisé
21015A63-;DESCHANEL P. (AVENUE);42;44
21015A64-;DUPLOYE SQUARE;88;92
21015A70-;P. HYMANS (RUE);61;64
21015A71-;JARDINS;95;99
21015A721;F. COURTENS (AVENUE);42;44
21015A73-;H. EVENEPOEL (RUE);145;151
21015A77-;R.T.B.;1627;1696
21015A782;CIMETIERE DE SAINT-JOSSE;11;11
21015A7MJ;JOSAPHAT GARE;110;115
21015A811;TERDELT;36;38
21015A831;LATINIS (AVENUE G.);483;504
21015ZZZZ;COMMUNE DE SCHAERBEEK: NON LOCALISABLE DANS UN SECTEUR;3346;3488
21016A00-;GLOBE-EST;654;682
21016A01-;DIEWEG;518;540
21016A02-;ALSEMBERG-NORD;1082;1128
21016A03-;COGHEN;441;460
21016A042;ECHEVINAGE;116;121
21016A05-;LE CHAT;163;170
21016A102;GROESELENBERG;443;462
21016A111;VERT CHASSEUR;46;48
21016A12-;HAMOIR;323;337
21016A13-;OBSERVATOIRE;150;156
21016A193;WOLVENDAEL;6;6
21016A214;ASTRONOMES;67;70
21016A225;PTOLEMEE;15;16
21016A232;BEAU SEJOUR;106;111
21016A311;FORT JACO;217;226
21016A322;CHAUSSEE DE WATERLOO-EST;633;660
21016A331;CHAUSSEE DE WATERLOO-OUEST;136;142
21016A342;FOND;330;344
21016A39-;FORET DE SOIGNES LORRAINE-EST;13;14
21016A400;SAINT-JOB;241;251
21016A410;ALPHONSE XIII;84;88
21016A429;CARLOO;132;138
21016A44-;PECHERIE;102;106
21016A490;KAUWBERG;93;97
21016A521;VERREWINKEL;38;40
21016A533;MOENSBERG;19;20
21016A601;BOURDON;141;147
21016A610;ENGELAND;13;14
21016A620;KRIEKENPUT;15;16
21016A639;HOMBORCH;119;124
21016A64-;MOLENSTEEN;292;304
21016A65-;ALSEMBERG-SUD;38;40
21016A692;CIMETIERE - ST.-GILLES;16;17
21016A701;MERLO;1163;1212
21016A71-;KEIENBEMPT;561;585
21016A72-;MELKRIEK;5;5
21016A731;ROETAERT;90;94
21016A772;ZWARTEBEEK;264;275
21016A80-;VANDERKINDERE;655;683
21016A81-;BASCULE;506;527
21016A82-;CHURCHILL;419;437
21016A831;LONGCHAMP;727;758
21016A841;ZEECRABBE;25;26
21016A85-;BRUGMANN;59;62
21016A901;CENTRE-OUEST;611;637
21016A912;GLOBE-OUEST;508;530
21016A922;WOLVENBERG;252;263
21016A933;VOSSEGAT-OUEST;880;917
21016A943;SEPT-BONNIERS;22;23
21016A954;VOSSEGAT-EST;4;4
21016ZZZZ;COMMUNE DE UCCLE: NON LOCALISABLE DANS UN SECTEUR;650;678
21017A000;CENTRE DE BOITSFORT;381;397
21017A01-;COIN DU BALAI;28;29
21017A021;DREVE DES EQUIPAGES;10;10
